GameID,Round,Team,Points_1Q,Points_2Q,Points_3Q,Points_4Q,Points_OT,Total_Points,Points_Margin,Opposing_Team,Opp_Team_1Q,Opp_Team_2Q,Opp_Team_3Q,Opp_Team_4Q,Opp_Team_OT,Opp_Team_Total_Points,Opp_Points_Margin
1,1,Boomers,29,15,17,15,0,76,15,Rangers,13,18,12,18,0,61,-15
4,1,Boomers,16,16,10,12,0,54,-9,Fire,16,12,24,11,0,63,9
8,2,Boomers,23,23,28,16,0,90,27,Spirit,8,18,12,25,0,63,-27
12,2,Boomers,17,17,33,25,0,92,29,Capitals,17,9,11,26,0,63,-29
17,3,Boomers,23,22,14,11,9,79,2,Lynx,23,17,20,10,7,77,-2
22,4,Boomers,9,12,19,16,0,56,-9,Flames,21,11,14,19,0,65,9
24,4,Boomers,23,22,14,11,9,79,2,Lynx,23,17,20,10,7,77,-2
30,5,Boomers,15,20,14,17,0,66,-5,Spirit,20,29,3,19,0,71,5
34,6,Boomers,29,25,18,16,0,88,23,Flames,22,10,16,17,0,65,-23
37,6,Boomers,24,18,8,27,0,77,3,Lightning,18,14,20,22,0,74,-3
40,7,Boomers,21,26,20,29,0,96,30,Capitals,16,17,19,14,0,66,-30
44,8,Boomers,21,13,16,16,0,66,-7,Fire,21,17,16,19,0,73,7
48,8,Boomers,27,21,27,14,0,89,-12,Flames,27,26,23,25,0,101,12
55,9,Boomers,28,13,23,28,0,92,20,Capitals,6,14,28,24,0,72,-20
57,10,Boomers,24,21,19,22,0,86,44,Spirit,9,12,7,14,0,42,-44
60,10,Boomers,19,6,20,19,0,64,2,Lightning,20,11,14,17,0,62,-2
69,11,Boomers,22,24,19,24,0,89,-3,Lynx,32,19,15,26,0,92,3
73,12,Boomers,15,10,23,8,0,56,-11,Lightning,22,17,19,9,0,67,11
74,12,Boomers,23,12,11,20,0,66,-18,Lynx,17,26,23,18,0,84,18
80,13,Boomers,18,21,20,21,0,80,35,Rangers,14,15,16,0,0,45,-35
83,F,Boomers,28,28,19,17,0,92,16,Lynx,22,23,10,21,0,76,-16
85,F,Boomers,18,15,15,30,0,78,9,Lynx,12,26,15,16,0,69,-9
87,F,Boomers,20,10,10,24,0,64,-5,Fire,21,10,17,21,0,69,5
88,F,Boomers,15,11,17,15,0,58,1,Fire,17,18,12,10,0,57,-1
89,F,Boomers,14,13,16,14,0,57,-13,Fire,20,15,20,15,0,70,-13
4,1,Fire,16,12,24,11,0,63,9,Boomers,16,16,10,12,0,54,-9
9,2,Fire,17,18,21,20,0,76,11,Capitals,20,17,15,13,0,65,-11
13,3,Fire,5,22,20,16,0,63,-3,Flames,17,20,14,15,0,66,3
16,3,Fire,13,18,23,17,0,71,-15,Rangers,17,25,26,18,0,86,15
21,4,Fire,24,19,23,17,0,83,15,Capitals,29,19,15,5,0,68,-15
28,5,Fire,10,27,17,14,0,68,-19,Lynx,29,27,11,20,0,87,19
31,5,Fire,27,20,23,14,0,84,42,Lightning,9,13,13,7,0,42,-42
35,6,Fire,31,28,23,12,0,94,35,Spirit,16,17,12,14,0,59,-35
39,7,Fire,28,25,18,30,0,101,23,Lightning,17,16,19,26,0,78,-23
44,8,Fire,21,17,16,19,0,73,7,Boomers,21,13,16,16,0,66,-7
47,8,Fire,26,17,18,18,0,79,-5,Lynx,27,20,14,23,0,84,5
50,9,Fire,13,6,22,18,0,59,-19,Rangers,21,20,17,20,0,78,19
53,9,Fire,26,21,18,23,0,88,3,Flames,18,20,17,30,0,85,-3
58,10,Fire,21,18,13,12,0,64,-15,Lightning,23,17,23,16,0,79,15
62,10,Fire,25,19,29,26,0,99,37,Spirit,7,24,13,18,0,62,-37
67,11,Fire,22,29,11,21,0,83,12,Rangers,20,14,20,17,0,71,-12
72,12,Fire,21,25,19,34,0,99,33,Capitals,19,12,15,20,0,66,-33
76,12,Fire,34,34,29,24,0,121,59,Spirit,19,18,14,11,0,62,-59
78,13,Fire,19,24,20,18,0,81,-26,Flames,27,23,28,29,0,107,26
81,13,Fire,24,16,18,25,0,83,32,Lynx,21,14,7,9,0,51,-32
84,F,Fire,21,22,18,17,0,78,29,Flames,19,8,11,11,0,49,-29
86,F,Fire,16,25,15,12,0,68,3,Flames,21,16,16,12,0,65,-3
87,F,Fire,21,10,17,21,0,69,5,Boomers,20,10,10,24,0,64,-5
89,F,Fire,20,15,20,15,0,70,13,Boomers,14,13,16,14,0,57,-13